seconds,particles_p1,particles_p2,o3_data
1541566869,0,1013,0.721752
1541566959,0,631,0.719768
1541567049,0,933,0.721523
1541567139,475,4140,0.788815
1541567229,0,499,0.787785
1541567319,0,724,0.786221
1541567409,0,689,0.783436
1541567499,0,548,0.781796
1541567589,0,733,0.781224
1541567679,0,789,0.781491
1541567769,0,392,0.780423
1541567859,0,633,0.780766
1541567949,0,706,0.782483
1541568039,0,800,0.779812
1541568129,0,698,0.780232
1541568219,0,935,0.778668
1541568309,0,478,0.77779
1541568399,0,738,0.777066
1541568489,0,624,0.777447
1541568579,0,644,0.776074
1541568669,0,716,0.778553
1541568759,0,607,0.777409
1541568849,0,471,0.775235
1541568939,0,755,0.774929
1541569029,0,763,0.772869
1541569119,0,554,0.773213
1541569209,0,648,0.771954
1541569299,0,487,0.77245
1541569389,0,780,0.776112
1541569479,62,693,0.779316
1541569569,429,4544,0.749866
1541569659,0,781,0.747272
1541569749,77,845,0.74548
1541569839,0,685,0.74445
1541569929,0,770,0.743191
1541570019,0,694,0.742351
1541570109,0,946,0.742351
1541570199,26,830,0.747234
1541570289,0,741,0.74155
1541570379,96,984,0.742237
1541570469,0,452,0.743648
1541570559,0,708,0.742351
1541570649,0,560,0.737316
1541570739,0,997,0.737125
1541570829,0,689,0.737354
1541570919,0,674,0.737278
1541571009,60,736,0.741169
1541571099,0,906,0.740749
1541571189,0,700,0.741474
1541571279,0,647,0.741665
1541571369,0,799,0.742428
1541571459,0,840,0.743
1541571549,0,639,0.74155
1541571639,0,805,0.742161
1541571729,0,549,0.741588
1541571819,0,980,0.741779
1541571909,0,785,0.741894
1541571999,0,549,0.741894
1541572089,0,513,0.741741
1541572179,0,937,0.739338
1541572269,0,894,0.737163
1541572359,0,672,0.739414
1541572449,0,577,0.74155
1541572539,0,705,0.738384
1541572629,0,780,0.738117
1541572719,0,714,0.73827
1541572809,0,659,0.743076
1541572899,0,794,0.742237
1541572989,0,697,0.742313
1541573079,0,832,0.742313
1541573169,0,907,0.743229
1541573259,0,788,0.743
1541573349,0,880,0.742618
1541573439,0,656,0.742771
1541573529,0,778,0.743229
1541573619,0,903,0.743343
1541573709,68,733,0.743992
1541573799,0,550,0.743801
1541573889,0,505,0.743572
1541573979,0,699,0.738499
1541574069,0,649,0.740215
1541574159,0,779,0.74155
1541574249,0,616,0.744755
1541574339,0,844,0.74052
1541574429,9,744,0.743801
1541574519,0,636,0.739986
1541574609,0,865,0.743153
1541574699,0,939,0.744297
1541574789,0,855,0.743687
1541574879,0,661,0.744259
1541574969,7,578,0.743992
1541575059,0,849,0.745289
1541575149,1,803,0.744297
1541575239,0,714,0.744793
1541575329,0,527,0.744373
1541575419,0,801,0.744602
1541575509,0,839,0.744602
1541575599,0,577,0.744297
1541575689,0,770,0.744831
1541575779,0,665,0.74548
1541653272,0,541,0.746014
1541653383,0,725,0.74052
1541653452,0,718,0.740978
1541653542,0,637,0.742313
1541653633,0,598,0.741436
1541739669,0,664,0.741512
1541739770,0,843,0.744411
1541739849,0,816,0.745441
1541739939,28,582,0.746662
1541740029,0,593,0.74712
1541740119,0,922,0.747234
1541826076,0,733,0.74651
1541826176,0,659,0.746815
1541826257,0,584,0.746395
1541826346,0,753,0.74651
1541826437,0,822,0.7467
1541826527,0,511,0.746815
1541826617,0,716,0.748417
1541826706,493,4009,0.750324
1541826797,0,609,0.746319
1541826887,0,1006,0.746166
1541826977,0,675,0.745213
1541827066,0,727,0.743687
1541827157,0,572,0.74506
1541827247,67,796,0.743763
1541827337,0,609,0.744183
1541827426,0,731,0.744106
1541827517,0,796,0.744335
1541827607,0,679,0.745518
1541912469,0,684,0.744678
1541912568,0,695,0.743877
1541912649,0,776,0.744793
1541912739,0,896,0.74548
1541912829,0,664,0.743877
1541998882,0,738,0.74361
1541998972,0,724,0.743725
1541999062,0,780,0.743801
1541999152,0,553,0.743572
1541999242,0,695,0.740253
1541999332,0,763,0.740749
1541999422,0,954,0.740063
1541999512,0,678,0.739338
1541999602,0,684,0.741474
1541999692,0,532,0.742084
1541999782,0,805,0.741932
1541999872,0,679,0.742466
1541999962,0,0,
